00201648592031,00201619283745,2,2,17:04:59,0
00201627384950,00201650394821,1,37,16:39:42,0
00201639485762,http://www.google.com,3,55073164,16:53:06,15
00201627384950,http://www.youtube.com,3,22754238,16:44:10,10
00201610293847,http://www.facebook.com,3,13742882,16:46:53,10
00201627384950,http://www.whatsapp.com,3,19810832,16:34:01,15
00201650394821,http://www.google.com,3,40646329,16:40:19,0
00201623948576,00201678192034,2,4,16:51:45,0
00201693847562,http://www.whatsapp.com,3,53130777,17:11:51,15
00201690485721,0020121425344,1,498,16:29:10,25
00201690485721,http://www.youtube.com,3,1038125,16:40:49,10
00201678192034,http://www.google.com,3,14289951,16:32:30,10
00201682736450,http://www.whatsapp.com,3,92002354,16:39:26,15
00201623948576,http://www.facebook.com,3,61481929,16:53:14,15
00201639485762,http://www.google.com,3,66575962,17:13:13,10
00201657483920,http://www.google.com,3,94134437,17:13:49,10
00201690485721,http://www.whatsapp.com,3,83156029,16:26:18,10
00201660495837,00201650394821,2,2,16:30:53,0
00201691827364,00201634592817,1,51,17:05:06,0
00201650394821,http://www.facebook.com,3,103128565,17:04:07,0
00201623948576,http://www.facebook.com,3,7314472,16:38:06,10
00201687162534,0020128254929,1,599,16:42:03,44
00201639485762,http://www.youtube.com,3,49519031,16:37:10,10
00201645372819,0020126266984,2,1,17:03:14,10
00201623948576,http://www.facebook.com,3,11607292,16:46:24,0
00201634592817,http://www.whatsapp.com,3,23346051,16:49:22,15
00201648592031,0020154232746,1,578,17:06:45,48
00201687162534,00201610293847,2,4,17:16:27,0
00201690485721,0020157578808,1,474,16:52:37,33
00201639485762,http://www.whatsapp.com,3,1689757,17:23:34,15
00201645372819,00201648592031,1,555,16:52:50,0
00201619283745,0020101493932,2,3,17:03:45,10
00201634592817,0020105092671,1,126,17:24:18,26
00201639485762,0020112475565,2,2,16:41:45,10
00201628374619,00201610293847,2,3,16:40:19,0
00201627384950,00201684759203,1,219,17:02:56,0
00201634592817,00201639485762,1,75,16:52:31,0
00201678192034,00201627384950,1,531,17:19:46,0
00201634592817,00201639485762,1,128,16:40:21,0
00201657483920,http://www.youtube.com,3,11329282,17:06:14,15
00201648592031,00201660495837,1,531,17:00:05,0
00201691827364,00201650394821,1,58,17:21:40,0
00201678192034,00201650394821,2,3,17:03:47,0
00201645372819,http://www.youtube.com,3,79772066,17:11:16,15
00201693847562,0020125372547,1,121,17:21:56,20
00201684759203,00201627384950,1,14,17:05:03,0
00201634592817,0020155389698,1,430,16:48:54,41
00201634592817,00201682736450,2,3,16:55:45,0
00201660495837,http://www.whatsapp.com,3,32837062,17:06:02,0
00201690485721,http://www.google.com,3,37903064,17:05:47,15
00201645372819,00201691827364,2,5,17:10:50,0
00201639485762,00201656273849,1,453,16:38:19,0
00201650394821,00201639485762,1,76,16:35:09,0
00201619283745,0020107580795,2,4,16:34:48,20
00201619283745,00201657483920,2,3,16:30:11,0
00201619283745,00201645372819,1,468,17:16:49,0
00201684759203,0020154985393,1,59,17:20:25,33
00201623948576,0020156805228,1,200,17:06:24,23
00201628374619,00201648592031,2,2,17:13:41,0
00201693847562,00201657483920,1,119,17:23:03,0
00201619283745,00201660495837,1,556,16:26:52,0
00201648592031,0020123581731,1,566,17:02:12,27
00201648592031,00201619283745,2,1,16:51:38,0
00201619283745,00201656273849,2,4,16:56:34,0
00201691827364,http://www.google.com,3,35412084,17:11:24,10
00201648592031,0020112674809,2,1,16:39:20,20
00201656273849,http://www.whatsapp.com,3,85766387,17:21:17,10
00201648592031,00201650394821,2,5,17:03:48,0
00201690485721,0020118843688,2,4,16:28:15,10
00201627384950,http://www.whatsapp.com,3,52773160,17:15:00,0
00201627384950,00201650394821,2,2,16:55:38,0
00201628374619,http://www.whatsapp.com,3,24870083,16:47:05,0
00201691827364,0020155075318,2,4,17:16:43,10
00201660495837,00201627384950,1,175,16:50:27,0
00201623948576,0020124478644,1,347,17:10:48,38
00201623948576,0020106110579,2,3,16:31:17,10
00201610293847,0020119198980,2,5,17:02:34,10
00201623948576,00201639485762,2,1,16:56:19,0
00201634592817,00201623948576,2,2,16:29:21,0
00201610293847,0020159777553,2,2,16:35:03,20
00201657483920,http://www.google.com,3,65878370,16:56:33,10
00201648592031,00201660495837,2,5,16:48:04,0
00201693847562,00201678192034,1,186,16:40:14,0
00201682736450,00201684759203,1,176,17:03:12,0
00201687162534,0020107131825,1,196,16:46:41,47
00201648592031,http://www.youtube.com,3,58371945,16:36:00,10
00201690485721,http://www.youtube.com,3,78216392,16:39:35,0
00201657483920,00201634592817,2,5,17:19:10,0
00201648592031,http://www.facebook.com,3,87532686,17:06:32,10
00201687162534,00201645372819,2,5,16:43:00,0
00201656273849,00201690485721,2,3,16:48:49,0
00201678192034,0020122630527,1,159,17:10:32,34
00201628374619,http://www.whatsapp.com,3,73977633,16:42:39,10
00201634592817,00201687162534,2,5,16:47:54,0
00201645372819,00201678192034,2,5,17:12:26,0
00201687162534,00201645372819,1,206,16:26:20,0
00201645372819,http://www.whatsapp.com,3,89611956,16:35:09,10
00201628374619,0020108393668,1,584,17:18:49,31
00201639485762,0020119006466,1,128,16:45:43,42
00201610293847,http://www.google.com,3,22091187,17:19:06,15
